date,AAPL US Equity,MSFT US Equity,portfolio_value
30.09.2024,116.9415,216.3108,333.2523
01.10.2024,113.5335,211.47985,325.01335
02.10.2024,113.82,209.69025,323.51025
03.10.2024,113.2625,209.39365,322.65615
04.10.2024,113.83,209.1524,322.9824
07.10.2024,111.265,205.8748,317.1398
08.10.2024,113.313,208.47375,321.78675
09.10.2024,115.205,209.85615,325.06115
10.10.2024,114.954,209.0418,323.9958
11.10.2024,114.2065,209.2831,323.4896
14.10.2024,116.0885,210.7007,326.7892
15.10.2024,117.368,210.4996,327.8676
16.10.2024,116.3295,209.18255,325.51205
17.10.2024,116.515,209.48415,325.99915
18.10.2024,117.9455,210.20805,328.15355
21.10.2024,118.688,210.5197,329.2077
22.10.2024,118.377,214.90825,333.28525
23.10.2024,115.8175,213.4454,329.2629
24.10.2024,115.722,213.51075,329.23275
25.10.2024,116.1435,215.23,331.3735
28.10.2024,117.1425,214.4458,331.5883
29.10.2024,117.278,217.14025,334.41825
30.10.2024,115.486,217.4318,332.9178
31.10.2024,113.383,204.2712,317.6542
01.11.2024,111.8775,206.29205,318.16955
04.11.2024,111.426,205.3319,316.7579
05.11.2024,112.1485,206.83995,318.98845
06.11.2024,111.782,211.2235,323.0055
07.11.2024,114.171,213.86265,328.03365
08.11.2024,114.0355,212.40985,326.44535
11.11.2024,112.664,210.13265,322.79665
12.11.2024,112.664,212.6562,325.3202
13.11.2024,113.111,213.74705,326.85805
14.11.2024,114.6685,214.5966,329.2651
15.11.2024,113.051,208.6195,321.6705
18.11.2024,114.568,209.00155,323.56955
19.11.2024,114.699,210.02205,324.72105
20.11.2024,115.0605,208.86585,323.92635
21.11.2024,114.8195,207.966,322.7855
22.11.2024,115.498,210.04635,325.54435
25.11.2024,117.005,210.94795,327.95295
26.11.2024,118.1055,215.5821,333.6876
27.11.2024,118.04,213.06355,331.10355
29.11.2024,119.246,213.3003,332.5463
02.12.2024,120.3815,217.08815,337.46965
03.12.2024,121.919,217.199,339.118
04.12.2024,122.1,220.33205,342.43205
05.12.2024,122.115,222.95135,345.06635
06.12.2024,122.0145,223.42985,345.44435
09.12.2024,123.979,224.66395,348.64295
10.12.2024,124.4915,223.30895,347.80045
11.12.2024,123.8485,226.15995,350.00845
12.12.2024,124.587,226.44705,351.03405
13.12.2024,124.6725,225.2936,349.9661
16.12.2024,126.1345,227.4696,353.6041
17.12.2024,127.3605,228.91525,356.27575
18.12.2024,124.6325,220.31695,344.94945
19.12.2024,125.5065,220.1356,345.6421
20.12.2024,127.868,219.919,347.787
23.12.2024,128.26,219.239,347.499
24.12.2024,129.732,221.29415,351.02615
26.12.2024,130.144,220.6796,350.8236
27.12.2024,128.4205,216.8615,345.282
30.12.2024,126.7175,213.99035,340.70785
31.12.2024,125.823,212.313,338.136
02.01.2025,122.522,210.8422,333.3642
03.01.2025,122.276,213.2449,335.5209
06.01.2025,123.1,215.51155,338.61155
07.01.2025,121.698,212.75125,334.44925
08.01.2025,121.944,213.85435,335.79835
10.01.2025,119.005,211.02855,330.03355
13.01.2025,117.774,210.14205,327.91605
14.01.2025,117.211,209.3764,326.5874
15.01.2025,119.5175,214.73585,334.25335
16.01.2025,114.689,213.86445,328.55345
17.01.2025,115.553,216.10595,331.65895
21.01.2025,110.5535,215.7584,326.3119
