,AAPL US Equity,MSFT US Equity,portfolio_value
2024-11-04,51.097751620764164,48.899091778202674,99.99684339896683
2024-11-05,51.429261115453585,49.258245697896754,100.68750681335034
2024-11-06,51.26120741183502,50.30216300191205,101.56337041374707
2024-11-07,52.35666007632535,50.93066443594646,103.28732451227181
2024-11-08,52.29458825693135,50.58469168260039,102.87927993953174
2024-11-11,51.66559382040554,50.04237571701721,101.70796953742274
2024-11-12,51.66559382040554,50.64335564053537,102.30894946094091
2024-11-13,51.8706607200331,50.903130975143405,102.7737916951765
2024-11-14,52.58494643431882,51.105449330783934,103.69039576510275
2024-11-15,51.84307324474688,49.68203871892926,101.52511196367615
2024-11-18,52.53896730884178,49.773016252390065,102.31198356123184
2024-11-19,52.598740171961936,50.01603728489484,102.61477745685679
2024-11-20,52.76472481493401,49.74069072657744,102.50541554151145
2024-11-21,52.65414501816175,49.52639818355641,102.18054320171817
2024-11-22,52.965193802013886,50.021821223709374,102.98701502572325
2024-11-25,53.6562600579337,50.23654397705545,103.89280403498915
2024-11-26,54.16088096004413,51.34014101338432,105.50102197342845
2024-11-27,54.13099452848407,50.740368068833654,104.87136259731773
2024-11-29,54.68389351234539,50.79673757170172,105.4806310840471
2024-12-02,55.20483700400018,51.69881692160612,106.9036539256063
2024-12-03,55.90969699756311,51.72520315487572,107.63490015243883
2024-12-04,55.99268931904915,52.4713312619503,108.46402058099945
2024-12-05,55.9995861878707,53.09511233269598,109.09469852056668
2024-12-06,55.95360706239367,53.20907026768642,109.1626773300801
2024-12-09,56.85456802611615,53.502963671128114,110.35753169724427
2024-12-10,57.08952135730379,53.18027007648184,110.26979143378563
2024-12-11,56.79456526736861,53.85922562141492,110.65379088878353
2024-12-12,57.13320152650696,53.9276051625239,111.06080668903087
2024-12-13,57.17251367878983,53.652903919694076,110.82541759848391
2024-12-16,57.84288932824497,54.17111615678777,112.01400548503274
2024-12-17,58.405214032829086,54.51539196940727,112.92060600223635
2024-12-18,57.15412202859902,52.46773422562142,109.62185625422043
2024-12-19,57.55506000275875,52.42454588910134,109.97960589186009
2024-12-20,58.63786840774288,52.372968451242826,111.0108368589857
2024-12-23,58.81764678835808,52.21103011472275,111.02867690308084
2024-12-24,59.49262035036094,52.70045411089866,112.1930744612596
2024-12-26,59.68159455607154,52.55409894837476,112.23569350444629
2024-12-27,58.891443284748725,51.644837476099426,110.53628076084814
2024-12-30,58.11025794289393,50.96107791586998,109.07133585876392
2024-12-31,57.70012414363879,50.561627629063096,108.26175177270188
2025-01-02,56.18626143730746,50.21135277246655,106.397614209774
2025-01-03,56.07338268426134,50.78354445506693,106.85692713932826
2025-01-06,56.451331095682555,51.323350860420646,107.7746819561032
2025-01-07,55.80831302588625,50.66598948374761,106.47430250963386
2025-01-08,55.921421674559745,50.92869263862333,106.85011431318307
2025-01-10,54.573313715573136,50.255736137667306,104.82904985324043
2025-01-13,54.00891995034254,50.0446104206501,104.05353037099263
2025-01-14,53.750747160789004,49.86228489483748,103.61303205562649
2025-01-15,54.80849694238815,51.13862332695985,105.947120269348
2025-01-16,52.59414225941422,50.93109464627151,103.52523690568573
2025-01-17,52.99048232102624,51.464902007648185,104.45538432867443
2025-01-21,50.661869511241896,51.32215583173997,101.98402534298187
